id,separationtype,gender,age,institute_service,dissatisfied,institute
4.0,Resignation-Other reasons,Female,36-40,7.0,False,DETE
6.0,Resignation-Other reasons,Female,41-45,18.0,True,DETE
9.0,Resignation-Other reasons,Female,31-35,3.0,False,DETE
10.0,Resignation-Other employer,Female,46-50,15.0,True,DETE
12.0,Resignation-Move overseas/interstate,Male,31-35,3.0,False,DETE
13.0,Resignation-Other reasons,Female,36-40,14.0,False,DETE
15.0,Resignation-Other employer,Male,31-35,5.0,True,DETE
21.0,Resignation-Other employer,Male,56-60,30.0,False,DETE
22.0,Resignation-Other reasons,Female,51-55,32.0,False,DETE
23.0,Resignation-Other reasons,Female,46-50,15.0,True,DETE
24.0,Resignation-Other reasons,Female,61 or older,39.0,True,DETE
26.0,Resignation-Other reasons,Female,41-45,17.0,True,DETE
28.0,Resignation-Other employer,Female,21-25,7.0,False,DETE
34.0,Resignation-Other reasons,Male,36-40,9.0,True,DETE
35.0,Resignation-Other reasons,Male,61 or older,6.0,True,DETE
38.0,Resignation-Other reasons,Female,21-25,1.0,False,DETE
41.0,Resignation-Other employer,Male,56-60,35.0,False,DETE
42.0,Resignation-Other reasons,Female,51-55,38.0,True,DETE
43.0,Resignation-Move overseas/interstate,Female,41-45,1.0,False,DETE
44.0,Resignation-Other reasons,Male,51-55,36.0,True,DETE
49.0,Resignation-Move overseas/interstate,Male,21-25,3.0,False,DETE
51.0,Resignation-Move overseas/interstate,Male,21-25,3.0,False,DETE
52.0,Resignation-Other reasons,Female,61 or older,19.0,False,DETE
56.0,Resignation-Other employer,Female,26-30,4.0,False,DETE
58.0,Resignation-Other employer,Male,46-50,9.0,False,DETE
62.0,Resignation-Other reasons,Female,31-35,1.0,False,DETE
70.0,Resignation-Other reasons,Female,36-40,6.0,True,DETE
72.0,Resignation-Other reasons,Female,36-40,1.0,False,DETE
88.0,Resignation-Move overseas/interstate,Female,26-30,5.0,False,DETE
91.0,Resignation-Other employer,Female,41-45,26.0,False,DETE
94.0,Resignation-Move overseas/interstate,Female,41-45,10.0,True,DETE
100.0,Resignation-Move overseas/interstate,Male,31-35,1.0,True,DETE
101.0,Resignation-Other reasons,Female,36-40,6.0,True,DETE
103.0,Resignation-Other reasons,Female,51-55,10.0,False,DETE
104.0,Resignation-Other reasons,Female,51-55,8.0,True,DETE
109.0,Resignation-Other reasons,Female,31-35,4.0,False,DETE
112.0,Resignation-Other reasons,Female,26-30,8.0,False,DETE
