id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,institute_service,dissatisfied
4,Resignation-Other reasons,2012.0,2005.0,2006.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,7.0,False
6,Resignation-Other reasons,2012.0,1994.0,1997.0,Guidance Officer,,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,41-45,,,,,,18.0,True
9,Resignation-Other reasons,2012.0,2009.0,2009.0,Teacher,Secondary,North Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,,3.0,False
10,Resignation-Other employer,2012.0,1997.0,2008.0,Teacher Aide,,,,Permanent Part-time,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,15.0,True
12,Resignation-Move overseas/interstate,2012.0,2009.0,2009.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Male,31-35,,,,,,3.0,False
13,Resignation-Other reasons,2012.0,1998.0,1998.0,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,,,,,,14.0,False
15,Resignation-Other employer,2012.0,2007.0,2010.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,,,,,,5.0,True
17,Resignation-Other reasons,2012.0,,,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Male,61 or older,,,,,,,True
21,Resignation-Other employer,2012.0,1982.0,1982.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,,30.0,False
22,Resignation-Other reasons,2012.0,1980.0,2009.0,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,,32.0,False
23,Resignation-Other reasons,2012.0,1997.0,1998.0,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,46-50,,,,,,15.0,True
24,Resignation-Other reasons,2012.0,1973.0,2012.0,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Female,61 or older,,,,,,39.0,True
26,Resignation-Other reasons,2012.0,1995.0,2002.0,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,17.0,True
28,Resignation-Other employer,2012.0,2005.0,2011.0,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,Yes,,,,,7.0,False
34,Resignation-Other reasons,2012.0,2003.0,2003.0,Teacher,Secondary,,,Permanent Full-time,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,36-40,,,,Yes,,9.0,True
35,Resignation-Other reasons,2012.0,2006.0,2009.0,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,,6.0,True
38,Resignation-Other reasons,2012.0,2011.0,2011.0,Teacher Aide,,Central Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,,,,,,1.0,False
40,Resignation-Move overseas/interstate,2012.0,,,Teacher,,Central Queensland,,Permanent Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,21-25,,,,,,,True
41,Resignation-Other employer,2012.0,1977.0,1980.0,Teacher,Primary,South East,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,,,,,,35.0,False
42,Resignation-Other reasons,2012.0,1974.0,1994.0,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,,38.0,True
43,Resignation-Move overseas/interstate,2012.0,2011.0,2011.0,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,,,,,,1.0,False
44,Resignation-Other reasons,2012.0,1976.0,1976.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,51-55,,,,,,36.0,True
49,Resignation-Move overseas/interstate,2012.0,2009.0,2010.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,,,,,,3.0,False
51,Resignation-Move overseas/interstate,2012.0,2009.0,2010.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,,,,,,3.0,False
52,Resignation-Other reasons,2012.0,1993.0,1993.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,,19.0,False
56,Resignation-Other employer,2012.0,2008.0,2008.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,,4.0,False
58,Resignation-Other employer,2012.0,2003.0,2012.0,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,,,,,,9.0,False
62,Resignation-Other reasons,2012.0,2011.0,2011.0,Schools Officer,,Central Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,,,,,,1.0,False
70,Resignation-Other reasons,2012.0,2006.0,,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,6.0,True
72,Resignation-Other reasons,2012.0,2011.0,2011.0,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,,1.0,False
88,Resignation-Move overseas/interstate,2012.0,2007.0,2007.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,,,,,,5.0,False
91,Resignation-Other employer,2012.0,1986.0,1986.0,Teacher Aide,,North Coast,,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,26.0,False
94,Resignation-Move overseas/interstate,2012.0,2002.0,2002.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,10.0,True
100,Resignation-Move overseas/interstate,2012.0,2011.0,2011.0,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,31-35,,,,,,1.0,True
101,Resignation-Other reasons,2012.0,2006.0,2008.0,Teacher Aide,,,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,,,,,,6.0,True
103,Resignation-Other reasons,2012.0,2002.0,2007.0,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,,10.0,False
104,Resignation-Other reasons,2012.0,2004.0,2008.0,,,Metropolitan,,Permanent Part-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,,8.0,True
107,Resignation-Other reasons,2012.0,,,Teacher Aide,,Central Office,Training and Tertiary Education Queensland,Temporary Part-time,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,Female,46-50,,,Yes,,,,True
109,Resignation-Other reasons,2012.0,2008.0,2009.0,Technical Officer,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,,4.0,False
112,Resignation-Other reasons,2012.0,2004.0,2004.0,Teacher,Special Education,Far North Queensland,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,,8.0,False
113,Resignation-Other reasons,2012.0,2007.0,2007.0,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,,5.0,True
115,Resignation-Move overseas/interstate,2012.0,1997.0,2004.0,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,15.0,True
