id,Institute,WorkArea,cease_date,separationtype,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,gender,age,employment_status,position,institute_service,role_service
6.34133009996094e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Full-time,Administration (AO),1-2,1-2
6.34133654064531e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
6.34138845606563e+17,Mount Isa Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,
6.3413990335e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
6.34146578511788e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,41  45,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34147506906311e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Contract/casual,Teacher (including LVT),7-10,7-10
6.34152007975694e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,Maternity/Family,-,-,-,-,-,Other,-,Male,20 or younger,Temporary Full-time,Administration (AO),3-4,3-4
6.34153745310374e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Male,46  50,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34157899735969e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2009.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,36  40,Temporary Full-time,Tutor,3-4,3-4
6.34158812168312e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Female,21  25,Permanent Full-time,Administration (AO),1-2,1-2
6.34158825838625e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,41  45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34171926251752e+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Male,56 or older,Permanent Part-time,Tutor,11-20,11-20
6.34171929735346e+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Male,51-55,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.3417252283144e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),11-20,Less than 1 year
6.34172609223344e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Female,31  35,Permanent Part-time,Teacher (including LVT),7-10,7-10
6.34176076134409e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,46  50,Permanent Part-time,Technical Officer (TO),11-20,11-20
6.34177007457719e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,,,,,,,,,,,,,,,,,,
6.34177053480062e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,31  35,Permanent Full-time,Administration (AO),7-10,1-2
6.34177938010971e+17,Brisbane North Institute of TAFE,Delivery (teaching),2010.0,Resignation,,,,,,,,,,,,,,,,,,
6.3418197264725e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,
6.34182099183434e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,,,,,,
6.34183070751313e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,,,,,
6.34184748867652e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Male,26  30,Temporary Full-time,Administration (AO),5-6,5-6
6.34190678592028e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,Female,26  30,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
6.34190743855375e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Permanent Part-time,Teacher (including LVT),7-10,7-10
6.34190913957094e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34193418130687e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,,,,,,
6.34193458894281e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Male,56 or older,Temporary Full-time,Administration (AO),More than 20 years,7-10
6.34195084065465e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.341993935285e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34199520161313e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34199595826715e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Full-time,Tutor,Less than 1 year,Less than 1 year
6.34200229589215e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,46  50,Temporary Part-time,Professional Officer (PO),Less than 1 year,Less than 1 year
6.3420113743107e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
6.34201997218101e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34205577322164e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Female,56 or older,Permanent Part-time,Teacher (including LVT),11-20,11-20
6.34206210361383e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,,,,,,
6.34207964363344e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
6.3420797198725e+17,The Bremer Institute of TAFE,Delivery (teaching),2010.0,Termination,,,,,,,,,,,,,,,,,,
6.34208063783969e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.34208993864195e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,26  30,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34209003247164e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34209012525289e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Male,31  35,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34209019387633e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Male,56 or older,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
6.34209026016695e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,36  40,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34209027931539e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,Male,51-55,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34209037420601e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Permanent Part-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34211542757094e+17,Tropical North Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Male,31  35,Permanent Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34212412239976e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,Career Move - Public Sector,-,-,-,Maternity/Family,-,Job Dissatisfaction,-,-,-,-,-,Female,31  35,Permanent Part-time,Administration (AO),7-10,7-10
6.3421319649857e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
6.34214004205914e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34214138447945e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,,,,,,,,,,,,,,,,,,
6.34214156864906e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,41  45,Permanent Full-time,Administration (AO),3-4,3-4
6.34214849407633e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.34217422828726e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,Other,-,,,,,,
6.34218492665219e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34219251646781e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,26  30,Temporary Full-time,Administration (AO),3-4,3-4
6.34219263224125e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Permanent Full-time,Tutor,3-4,1-2
6.34219274566469e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
6.34219394328258e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34219407445375e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
6.34219413623344e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2009.0,Contract Expired,,,,,,,,,,,,,Male,26  30,Permanent Full-time,Tutor,3-4,3-4
6.34219425466156e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2009.0,Contract Expired,,,,,,,,,,,,,Female,51-55,Permanent Full-time,Administration (AO),11-20,11-20
6.34220006275757e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2009.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Male,51-55,Permanent Full-time,Operational (OO),3-4,3-4
6.34220145175757e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,Male,46  50,Permanent Full-time,Operational (OO),11-20,Less than 1 year
6.34221044292008e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,Other,-,Female,21  25,Permanent Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34223513490601e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),1-2,1-2
6.34224469051226e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34225251664195e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34226171903257e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,51-55,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34227157286851e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,51-55,Permanent Full-time,Administration (AO),3-4,3-4
6.3422718506975e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Professional Officer (PO),7-10,7-10
6.34227207368969e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,51-55,Permanent Full-time,Administration (AO),5-6,5-6
6.34227222513344e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,11-20
6.34231466668883e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,1-2
6.34232185219039e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
